ID,DaysToFlower
SC0448,79.2361386423969
PI534006,82.7517631768368
PI534097,66.154659723049
SC1216,71.941919722156
SC0582,77.5392612367518
PI533882,73.0588291000512
PI597952,63.0919967036211
PI533788,66.3678100310338
PI656062,75.8874093281543
PI576391,72.2816135429791
PI656071,74.0587777916828
PI533966,67.8892478048884
PI576340,69.9339865886914
PI533955,66.3389873015396
PI576368,68.2768289036413
SC0858,67.1305227887917
PI533827,71.5511287554072
PI533805,63.3633457170609
PI533990,61.9340711910432
PI533804,54.5503574431786
SC0287,52.8783115450608
SC0604,59.4431033374854
PI656096,64.2636487519226
PI533887,59.6423253935405
PI533797,78.7910058605264
PI533864,51.4159165391288
PI609456,
SC0921,75.9768771237548
SC0965,52.4947119109337
PI533884,65.2406271481899
PI576338,65.7754985583819
PI576328,65.1209896238022
PI534080,61.0317270585336
PI597974,57.5876484232003
PI533976,64.8802957926337
PI533824,77.3545071897963
PI533836,65.8449961720734
PI595715,60.8069160818401
PI533940,66.299352815847
PI576387,61.7076922463852
PI576335,64.0257989439246
PI595747,61.9272287964031
PI564163,64.7193554039392
PI656108,60.023062940848
PI533885,60.3253019904282
PI533754,64.013331713944
PI656095,61.6538448190835
PI533844,78.2038899151454
PI534128,71.3197798289883
SC0276,61.6996249122242
PI534161,87.6005579355393
PI656090,66.8883148138696
PI576385,59.4065390985422
PI533996,64.2864673780697
PI533765,66.6772143179905
PI534015,69.9830280800884
PI597954,63.5746437963263
PI656018,72.2832492444494
PI576400,65.0404891348361
PI656019,60.5723767685229
PI576373,67.0014856612746
PI533991,65.9496255400836
PI613536,69.5584173799785
PI533751,64.986067049955
PI533790,54.9722566029144
PI597966,66.2531837699331
SC0456,65.0812823510795
PI564165,77.7046475458071
PI533822,69.289807272832
PI534135,
PI533821,66.1142071418245
PI534142,63.8212454844578
PI533771,60.8422890901476
PI534165,68.4652869320332
PI655994,64.7814134363675
PI656060,64.4345355304567
PI533780,56.1451538742192
PI534094,68.9481239796589
PI576358,70.215771437862
PI533974,70.6223315507491
PI533807,69.8568515077615
PI576343,63.8932349841947
PI576405,72.1822323584846
PI656041,74.4914332033489
PI659696,65.4218464186592
PI656114,
PI576374,73.2152323780335
PI576367,67.9227361655898
PI576418,75.9160557048676
SC0235,73.7317500639794
SC0479,82.6821588388208
PI533857,74.7613857840173
PI576352,68.6380863256941
PI533755,74.4968912612051
PI533769,58.6989168111751
PI533815,62.1055168737564
PI597953,
SC1442,61.7472750442285
PI595712,57.921327034438
PI597956,62.0160122562458
PI655992,65.4086451037425
PI533975,63.9557517042807
PI533977,64.6170909765774
PI534130,69.9041438541153
SC1107,63.0952908825384
PI576392,61.1916579452405
PI533850,69.6470337890404
PI656006,71.9251915069861
PI534002,66.9868739422344
PI576394,66.4238886229769
PI656093,68.5177567560565
PI533967,78.413616669601
SC0823,66.2137504634385
PI533841,70.066473599221
PI576382,58.5122149000711
PI533911,64.8444145804755
PI597960,71.6724345528284
PI597971,65.5259445625663
PI595746,72.3729363861612
PI656094,63.5647753686976
PI659753,88.3463767180904
SC1119,65.3015182541029
PI534090,61.7553975028972
PI533863,70.5525213697874
PI534133,72.5142007947033
PI533775,66.14968540239
PI561072,70.7858868227414
PI576372,68.5693854496301
PI576390,61.4565163143658
PI656032,80.3803884468804
PI153844,65.7137149871773
PI595732,69.3345127504508
PI595735,65.6253019581536
PI656020,65.2121365065288
PI534045,64.4617191592454
PI656050,66.1791522659527
PI533933,71.7742617028176
PI533886,
PI597965,61.3007661057373
ElMota,66.5549761573567
PI534089,70.337301867154
PI656070,69.0782168781816
PI534151,68.9557859441879
PI595700,80.1862153626991
PI533943,70.5832464762006
PI534013,84.3035844051095
PI533833,66.342087711221
PI533808,62.7787554727636
SC0263,65.4314843944342
PI576375,67.756190167344
PI533764,67.5879774626818
RTAM2566,65.3544017981771
PI533799,67.1978261476431
PI595733,65.2169904547815
PI656025,
PI152651,54.9938375505183
PI534163,70.1272695985649
PI534004,
PI534159,75.7101135087009
PI533859,81.0728308054634
PI534114,68.5803162249101
PI564164,73.7370632504365
PI576432,59.0103816755065
PI533986,65.4635888036751
PI656048,74.0459957582809
PI34911,72.0472488545238
PI576412,69.9237821145281
BTx378,69.2719474722332
PI576370,65.3744660796061
PI597973,68.7750861011278
PI533785,66.9088975451012
PI656083,65.0651168859572
PI533876,55.1086308104012
PI597969,68.3717385430357
PI576349,64.6711518154213
PI534024,80.391730154018
PI576361,67.901968595639
PI533883,
Day,63.88874744204
PI533964,70.29994581618
PI576386,75.7973659125485
PI534043,66.0749056829742
PI534053,72.0289109809936
PI534124,64.9420329485115
PI651496,82.882676515063
PI534127,68.4968653911113
PI656036,74.1447231610356
PI534087,
PI597977,50.824225088158
SC0878,66.8803066669061
PI534062,75.905060332094
SC0914,67.0292799903647
PI534158,65.2935008307722
PI22326,73.9776188215893
PI534147,64.3274486808723
PI641874,66.5789916384102
PI533810,77.2996927734195
PI576347,53.9453929545631
PI576417,67.3913638610307
PI576430,61.3606828346927
PI656012,77.5569556475094
PI601816,67.3615224471672
PI534155,75.7533145775487
PI576427,59.081264971198
PI533985,65.131899942402
SC0542,60.8057577443652
SC0837,73.5385741743123
PI576421,63.8983245466312
SC1114,59.1798869374993
PI656028,76.498680852718
PI534077,63.1391559049942
PI656010,66.6413639839965
SC0893,68.4165491915858
PI574455,72.034373066043
PI595728,76.4773185278898
PI656004,69.5138242890703
PI533796,60.9359136103668
PI534064,57.6528123578253
PI534058,59.7322758876152
PI576433,71.9378940987764
PI576397,68.8646040153459
PI656076,65.7154267414326
PI533890,56.7962666321452
PI656035,64.292574000694
RTx2917,68.2178505033443
PI576429,65.1498362387892
PI534039,60.1433113983095
PI533987,57.8418405143927
PI533794,66.2929453453837
PI656059,72.5489798323718
PI534068,68.9359160885783
PI534067,66.5889464301309
PI576436,68.1592424177741
PI576362,
PI534102,63.1214575940219
SC0247,67.78944041032
PI576431,61.8915459670095
BTx645,69.9276440179886
PI533760,65.6597627315994
PI597947,62.1624239602638
PI656072,80.0519938378819
PI534137,72.4306368494018
PI533814,78.719154933575
PI656000,63.5491857432028
SC0847,62.9660417259614
PI585295,64.5089949401565
PI533957,63.4688357837682
PI597972,64.0145870930769
PI655999,68.520780377868
PI656106,68.9934200319646
PI533958,77.4114466268728
PI533840,58.5826660820664
PI576376,67.0411011545739
PI533915,62.2917545503266
SC0092,72.0528422928464
PI533878,70.0178007433536
SC0685,59.0264553386977
PI534009,86.009728375442
PI656103,62.1664959294848
PI656078,70.0446081666118
